target,feature,reference_value,counterfactual_mean_absolute_log_disagreement,absolute_disagreement_reduction,fraction_of_baseline_abs_disagreement_reduced,weighted_sign_flip_rate,interpretation
frequency,vehicle_brand,RENAULT,0.08858866269323984,0.010675752988488676,0.10754864082128224,0.21228114730673853,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,policy_type,CC,0.08875851745287791,0.010505898228850605,0.10583750638834832,0.13384001970284468,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,vehicle_value,24596.775,0.0933058356355027,0.00595858004622582,0.060027352252098216,0.12172869424223857,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,payment_frequency,A,0.09598577079993016,0.0032786448817983538,0.033029407963380074,0.0443460277357398,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,power_to_weight_ratio,12.0,0.09691648509419949,0.0023479305875290235,0.02365329581002313,0.0830362639486395,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,bonus_score,G,0.09725051716368374,0.002013898518044774,0.020288222161121024,0.007164039163609123,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,municipality_type,I,0.09753389293782938,0.001730522743899135,0.017433465275690636,0.02457754347433776,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,circulation_area,U,0.09759943179966817,0.0016649838820603502,0.016773219996567428,0.06297541843404438,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,business_type,NB,0.09775740069265527,0.001507014989073241,0.015181825014768464,0.05772242355959973,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,seats,5.0,0.09872870674427069,0.0005357089374578294,0.005396787295615308,0.010735454022033325,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,fuel_type,D,0.10092212572874137,-0.0016577100470128586,-0.01669994262926983,0.06018107382331909,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,age_driving_licence,21.0,0.11184353346152122,-0.012579117779792703,-0.12672333477613093,0.12153104413923564,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,vehicle_age,23.0,0.13636144694066132,-0.03709703125893281,-0.37371933340016844,0.40383773968731795,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
frequency,driver_age,47.0,0.15897398609186505,-0.05970957041013654,-0.6015203937892842,0.23437334586884775,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,business_type,NB,0.2973344390320407,0.019742473537868732,0.0622639894461439,0.12367886630387541,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
